#gen	response_time	SLA_penalty	overload_penalty	power_consumption	best_sol
161	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
162	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
163	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
164	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
165	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
166	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
167	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
168	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
169	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
170	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
171	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
172	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
173	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
174	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
175	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
176	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
177	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
178	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
179	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
180	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
181	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
182	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
183	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
184	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
185	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
186	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
187	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
188	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
189	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
190	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
191	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
192	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
193	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
194	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
195	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
196	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
197	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
198	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
199	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
200	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
201	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
202	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
203	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
204	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
205	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
206	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
207	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
208	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
209	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
210	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
211	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
212	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
213	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
214	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
215	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
216	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
217	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
218	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
219	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
220	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
221	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
222	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
223	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
224	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
225	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
226	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
227	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
228	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
229	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
230	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
231	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
232	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
233	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
234	2.198287306329376	0.0	0.0	3.4546	"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
